inv8 B: always (all f:File | some f.link implies eventually f.link in Trash)
inv8 B: all f:File | some f.link implies eventually f.link in Trash
inv8 B: all f:File | some link.f implies eventually f in Trash
inv8 T: all f:File | some File.link.f implies eventually f in Trash
inv8 B: all f:File | some link.f implies eventually f in Trash
inv8 B: all f:File | some link.f implies (eventually f in Trash)
inv8 T: all f:File | link.f implies (eventually f in Trash)
inv8 T: all f:File | link.f implies (eventually f in Trash)
inv8 B: all f:File | some link.f implies (eventually f in Trash)
inv8 T: all f:File | some link.f implies (eventually link in Trash)
inv8 B: all f:File | some link.f implies eventually ( f in Trash)
inv8 O: always (all f,f2:File | f->f2 in link implies eventually ( f in Trash and f2 in Trash))
inv8 T: always (all f,f2:File | some f->f2 in link implies eventually ( f in Trash and f2 in Trash))
inv8 B: always (all f,f2:File | f->f2 in link implies eventually (f2 in Trash))

