NA H: THEME UPDATE
inv1 C: all p:Photo | one posts.p
inv1 U: all p:Photo | lone posts.p
inv1 C: all p:Photo | one posts.p
inv2 T: all u:User | not follows.u
inv1 C: all p:Photo | one posts.p
inv1 C: all p:Photo | one posts.p
inv4 T: all u:User, p:Photo | (u->p in posts and p in Ad) -> posts.p in Ad
inv4 T: all u:User, p:Photo | (u->p in posts and p in Ad) -> posts.p in Ad	all u:User, a:Ad | u->a in posts implies (all p:Photo | u->p in posts implies p in Ad)
inv1 C: all p:Photo | one posts.p
inv1 C: all p:Photo | one posts.p
inv1 C: all p:Photo | one posts.p
inv1 C: all p:Photo | one posts.p
inv1 C: all p:Photo | one posts.p

