NA H: THEME UPDATE
inv1 C: all p:Photo | one posts.p
inv2 S: all u:User | lone not in u.follows
inv2 C: all u:User | u not in u.follows
inv3 C: all u:User| u.sees-Ad in u.follows.posts
inv4 T: all u:User, a:Ad | u.posts
inv4 U: all u:User, a:Ad | a.posts in u.posts
inv4 U: all u:User, a:Ad | a.posts in u.posts
inv4 O: all u:User, a:Ad | u.posts in a
inv4 U: all u:User, a:Ad | a.posts in u.posts
inv4 B: all u:User, a:Ad| a in u.posts
inv4 U: all u:User, p:Photo| p.posts in Ad
inv4 O: all u:User, p:Photo| u.posts in Ad
inv4 T: all u:User, a:Ad| u.posts.a in a
inv4 S: all u:User, a:Ad| p.posts & a
inv4 T: all u:User, a:Ad| u.posts & a
inv4 U: all u:User, a:Ad| lone (u.posts & a)
inv4 S: all u:User, a:Ad| all (u.posts & a)
NA H: THEME UPDATE
inv4 S: all u:User, p:Photo| all (u.posts & a) in Ad
inv4 S: all u:User, p:Photo| all (u.posts & p) in Ad
inv4 O: all u:User, p:Photo| (u.posts & p) in Ad
inv4 T: all u:User, a:Ad| (u.posts & a)
inv4 T: all u:User, a:Ad| (u.posts & a) in posts
inv4 U: all u:User, a:Ad| (u.posts & a) in Ad

